"zip_code","total_collisions"
"11207","27113"
"11101","18821"
"11236","18757"
"11203","17996"
"11234","17599"
"11385","17523"
"10019","17028"
"11208","16847"
"11212","16843"
"11201","16835"
"11226","16583"
"10016","16469"
"10036","16328"
"11434","16056"
"10001","15752"
"10022","15661"
"10002","14998"
"11233","14720"
"10013","14437"
"10467","14005"
"11206","13980"
"11230","13646"
"11211","13586"
"11368","13526"
"11220","13450"
"11373","12646"
"11377","12588"
"11235","12122"
"11354","12112"
"10466","11915"
"11213","11865"
"10018","11743"
"11217","11726"
"10458","11539"
"11215","11415"
"11210","11376"
"11223","11269"
"11432","11141"
"11221","11041"
"10457","10966"
"11372","10936"
"10011","10832"
"11219","10763"
"11355","10724"
"10029","10636"
"10451","10601"
"10469","10579"
"11218","10522"
"10460","10419"
"11413","10278"
"11229","10253"
"11420","10207"
"11214","10164"
"11204","10081"
"11216","10026"
"10035","9966"
"10003","9876"
"11222","9845"
"10306","9792"
"10461","9785"
"10017","9785"
"10468","9707"
"11435","9403"
"10065","9319"
"10462","9305"
"10459","9264"
"11238","9060"
"10027","8976"
"11375","8874"
"10456","8799"
"11422","8718"
"10454","8524"
"10453","8360"
"11225","8344"
"11237","8281"
"11209","8235"
"10304","8225"
"10472","8220"
"11205","8171"
"11378","8140"
"10463","8139"
"11419","8098"
"10455","7964"
"10012","7956"
"10010","7832"
"10301","7784"
"10452","7611"
"11691","7522"
"10312","7292"
"10023","7277"
"11433","7151"
"10032","7108"
"11232","7063"
"10025","6907"
"10305","6872"
"11417","6826"
"10473","6594"
"11412","6554"
"10033","6458"
"11369","6298"
"11418","6296"
"11228","6154"
"10024","6153"
"10128","6145"
"10021","6011"
"11361","5972"
"10465","5950"
"11358","5914"
"11231","5911"
"10014","5781"
"10475","5765"
"11374","5761"
"10009","5746"
"11249","5677"
"11367","5662"
"11224","5527"
"11106","5487"
"11379","5318"
"10474","5247"
"11423","5238"
"11421","5211"
"10034","5203"
"11103","4965"
"10031","4898"
"11429","4820"
"11370","4754"
"10310","4549"
"10028","4535"
"10314","4506"
"11411","4308"
"11365","4308"
"11357","4275"
"10309","4258"
"10007","4189"
"10470","4159"
"11414","4155"
"11416","4125"
"11356","4088"
"10026","3962"
"11102","3904"
"11427","3768"
"11105","3704"
"10030","3694"
"11364","3631"
"10038","3467"
"10037","3427"
"11428","3412"
"11436","3333"
"10075","3259"
"11104","3103"
"10308","3089"
"11366","3088"
"11004","3084"
"11426","2868"
"10040","2756"
"11415","2622"
"11239","2562"
"10471","2495"
"11362","2459"
"10039","2387"
"10004","2273"
"11694","2058"
"11692","1918"
"11693","1867"
"11363","1566"
"11360","1549"
"10006","1469"
"10005","1355"
"10307","1224"
"10464","995"
"10020","743"
"10302","601"
"11001","600"
"10303","550"
"11040","494"
"10000","406"
"11430","304"
"10069","275"
"10280","275"
"10119","255"
"10282","182"
"11697","182"
"11109","165"
"10168","134"
"10172","116"
"11005","108"
"10281","99"
"10121","94"
"10169","68"
"10278","64"
"10118","56"
"10165","55"
"     ","42"
"10048","34"
"10123","28"
"11359","28"
"10105","25"
"10111","22"
"10153","22"
"10112","19"
"10271","17"
"10041","17"
"10110","16"
"10120","16"
"10155","15"
"11695","15"
"10279","12"
"10177","11"
"10154","11"
"10170","11"
"10103","11"
"10115","10"
"10178","10"
"10174","10"
"10167","7"
"10045","7"
"10106","6"
"10151","5"
"10107","5"
"10171","5"
"10152","4"
"10179","4"
"10122","4"
"10158","4"
"10173","3"
"10055","3"
"11251","3"
"10176","2"
"10803","2"
"11242","2"
"10162","1"
"11241","1"
"10166","1"
"10044","1"
